Season,age,team_id,lg_id,pos,g,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,pf,pts
2014.0,20,LAL,NBA,PF,1,0,14,1,3,0.333,0,0,,0,2,0.0,1,2
2015.0,21,LAL,NBA,PF,81,60,2286,358,835,0.429,10,36,0.278,193,270,0.715,242,919
2016.0,22,LAL,NBA,PF,74,73,2132,377,773,0.488,17,63,0.27,204,282,0.723,248,975
2017.0,23,LAL,NBA,C,82,49,2190,504,904,0.5579999999999999,10,45,0.222,305,425,0.718,274,1323
2018.0,24,NOP,NBA,PF,73,49,2232,571,1089,0.524,67,195,0.344,356,487,0.731,246,1565
2019.0,25,NYK,NBA,PF,64,64,2080,463,1006,0.46,64,231,0.277,258,352,0.733,178,1248
2020.0,26,NYK,NBA,PF,23,23,845,182,383,0.475,36,91,0.396,120,149,0.805,77,520
