Season,age,team_id,lg_id,pos,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,pf_per_g,pts_per_g,Total Games,Games Missed
2014.0,20.0,LAL,NBA,PF,1,0,14.0,1.0,3.0,0.333,0.0,0.0,,0.0,2.0,0.0,1.0,2.0,1,1
2015.0,21.0,LAL,NBA,PF,81,60,28.2,4.4,10.3,0.429,0.1,0.4,0.278,2.4,3.3,0.715,3.0,11.3,141,21
2016.0,22.0,LAL,NBA,PF,74,73,28.8,5.1,10.4,0.488,0.2,0.9,0.27,2.8,3.8,0.723,3.4,13.2,147,1
2017.0,23.0,LAL,NBA,C,82,49,26.7,6.1,11.0,0.5579999999999999,0.1,0.5,0.222,3.7,5.2,0.718,3.3,16.1,131,33
2018.0,24.0,NOP,NBA,PF,73,49,30.6,7.8,14.9,0.524,0.9,2.7,0.344,4.9,6.7,0.731,3.4,21.4,122,24
2019.0,25.0,NYK,NBA,PF,64,64,32.5,7.2,15.7,0.46,1.0,3.6,0.277,4.0,5.5,0.733,2.8,19.5,128,0
2020.0,26.0,NYK,NBA,PF,26,26,36.8,7.8,16.7,0.467,1.6,4.2,0.382,5.1,6.3,0.8,3.3,22.3,52,0
