Season,age,team_id,lg_id,mp,fg,fga,fg3,fg3a,ft,fta,pf,pts
2014.0,20.0,LAL,NBA,13:34,1,3,0,0,0,2,1,2
2015.0,21.0,LAL,NBA,38:56,10,19,1,3,7,11,6,23
2016.0,22.0,LAL,NBA,37:56,13,19,2,4,9,11,6,32
2017.0,23.0,LAL,NBA,40:15,14,19,2,3,10,14,6,36
2018.0,24.0,NOP,NBA,42:06,20,34,4,7,11,13,6,45
2019.0,25.0,NYK,NBA,46:12,14,26,5,9,10,13,6,35
2020.0,26.0,NYK,NBA,44:09,13,26,5,8,10,13,6,30
